store_nbr,product_nbr,tickets,sales,quantity_dimless
11,333789,44,238458,45
8,669941,1,2765,1
2,497490,19,37652,27
17,867654,24,105554,24
9,589792,1281,691626,1406
0,289071,3231,3032827,3909
2,272842,6,28399,6
0,957424,60,52135,69
2,963328,3,5043,3
17,901503,73,87532,73
11,882698,136,121239,146
11,985243,46,236448,60
13,763724,116,47302,134
5,370382,730,389765,892
1,890514,357,934723,424
15,651645,9,28997,14
13,760908,5928,6419943,8756
10,2609,429,784149,403
5,939399,61,166042,65
8,332464,189,220528,206
13,800210,106,253127,106
6,699038,31,259742,31
9,661999,31,83468,35
9,652204,206,1317991,160
2,11342,50,79316,50
3,1013,966,2279546,988
17,937030,136,193684,197
9,6203,114,355544,136
2,960897,68,69720,83
17,701781,38,110155,40
9,311241,330,625679,392
15,864446,211,212179,247
3,985475,253,311284,340
11,998796,83,131122,83
9,280761,24,44760,24
17,293939,172,353287,176
0,993387,95,181460,148
10,941174,467,451257,563
2,760526,781,455814,1094
0,7323,5397,4058058,6251
10,292819,806,2049395,963
15,874674,1452,3130844,1660
2,2071,2894,5521454,3428
10,981481,33,58520,35
8,2327,60,88260,60
13,962846,523,517756,573
2,2513,2600,1902371,2722
10,311245,79,305194,153
11,111290,9,5506,7
6,772949,75,340583,82
13,957418,32,28288,34
3,924631,165,221099,210
14,388216,62,31602,62
17,477443,22,77799,23
15,995717,52,100692,57
0,301361,2,14277,2
5,884841,1180,1529739,1336
0,973558,7,11704,7
11,296111,476,293798,634
9,500649,970,973918,1121
11,331,69,128669,80
2,298213,398,435252,421
11,904665,468,598303,674
15,950079,1933,869677,2873
4,335502,452,965371,495
10,997605,180,648565,177
14,387158,617,1008137,679
15,982209,241,237902,286
4,708422,7,9582,9
12,993145,88,376600,90
5,913906,71,216559,71
0,519778,88,179721,90
10,270940,151,447093,154
0,968550,900,906800,990
5,280609,50,34587,53
8,771170,15,12600,15
5,647620,521,706898,613
17,716610,241,393237,313
10,906626,390,995997,443
17,112402,1369,1013627,2102
